No,Filename,Width,Height,AspectRatio,PixelAspectRatio,RatioSource,UsageCount,DisplayRatioVariants,AssetKind,SvgRenderable,PptxNativeSupported,SizeKB,Category,ImageArea_SxS,TextArea_SxS
1,codex-clipboard-0a6f2c3a-3ed1-4afb-95a9-731c264b4664.png,1029,483,2.13,2.13,pixel,1,,bitmap,True,True,65.5,Ultra-wide,812x381,328x600
2,codex-clipboard-24f59ef1-6a5c-486f-b42f-5ef23bfa58ef.png,1106,589,1.88,1.88,pixel,1,,bitmap,True,True,93.8,Wide landscape,812x432,328x600
3,codex-clipboard-dde4b7b4-2d2c-4042-b2fa-2561fd69435c.png,1131,597,1.89,1.89,pixel,1,,bitmap,True,True,295.0,Wide landscape,812x429,328x600
4,codex-clipboard-f02c6311-e33f-4dfa-8184-7b13649c0b04.png,1101,601,1.83,1.83,pixel,1,,bitmap,True,True,258.8,Wide landscape,812x443,328x600
5,codex-clipboard-f62fbebd-fd43-46fa-87c0-04abb60bcdc2.png,1090,619,1.76,1.76,pixel,1,,bitmap,True,True,283.7,Wide landscape,812x461,328x600
